               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073856,            0.086142,           0.0016387,            0.063155,             0.23799,            0.085445,            0.031812,            0.071149,             0.07411,          0.00048329,            0.070025,           0.0033306,           0.0033306
                   1,            0.064578,            0.089571,          0.00054153,            0.076221,             0.22306,            0.094028,             0.03583,             0.07026,            0.073835,          0.00038617,            0.039805,            0.006444,            0.006444
                   2,            0.064038,            0.088609,           0.0005184,            0.064908,             0.21939,            0.089337,            0.034695,            0.070123,            0.073876,          0.00035737,           0.0093647,           0.0093375,           0.0093375
                   3,            0.063387,            0.087769,          0.00050967,             0.28092,             0.31915,               0.242,             0.15165,            0.070414,            0.073222,          0.00035334,             0.00901,             0.00901,             0.00901
                   4,            0.062972,            0.086746,          0.00047621,              0.3945,             0.23056,             0.25793,             0.13931,            0.070326,            0.074155,          0.00035802,             0.00901,             0.00901,             0.00901
                   5,            0.062704,            0.084893,          0.00045834,             0.40572,             0.29556,             0.28307,             0.16699,            0.070561,            0.075236,           0.0003397,             0.00868,             0.00868,             0.00868
                   6,            0.062423,            0.083174,          0.00044034,             0.41283,             0.23477,             0.27027,             0.15008,            0.070393,            0.076596,           0.0003654,             0.00835,             0.00835,             0.00835
                   7,            0.062159,            0.081433,          0.00042852,             0.43633,             0.24493,             0.28339,             0.15819,            0.070682,            0.076572,          0.00038745,             0.00802,             0.00802,             0.00802
                   8,            0.061975,            0.080088,          0.00040549,             0.40564,             0.26394,             0.27586,             0.14905,            0.070468,            0.075111,           0.0003542,             0.00769,             0.00769,             0.00769
                   9,            0.061743,             0.07896,          0.00040635,             0.44545,             0.22218,             0.27635,             0.15945,            0.070729,            0.077393,          0.00042735,             0.00736,             0.00736,             0.00736
                  10,            0.061457,            0.078156,          0.00038179,             0.41391,             0.25353,             0.28318,             0.16187,            0.070761,            0.076873,          0.00039782,             0.00703,             0.00703,             0.00703
                  11,             0.06125,            0.077581,          0.00036937,              0.4093,             0.27355,             0.29432,             0.17298,            0.070945,            0.077153,           0.0003988,              0.0067,              0.0067,              0.0067
                  12,            0.061038,             0.07693,          0.00036696,             0.43087,             0.24037,             0.27272,             0.15769,            0.071238,            0.077892,          0.00041372,             0.00637,             0.00637,             0.00637
                  13,            0.060862,            0.076455,          0.00035062,             0.41542,             0.27447,             0.28915,             0.16582,            0.071189,             0.07764,          0.00041989,             0.00604,             0.00604,             0.00604
                  14,            0.060628,            0.076029,          0.00034682,             0.41479,             0.25496,             0.28563,             0.16444,            0.071367,            0.078168,          0.00048354,             0.00571,             0.00571,             0.00571
                  15,            0.060395,            0.075642,           0.0003256,             0.41513,             0.27178,             0.28843,             0.16423,            0.071378,            0.078444,          0.00046572,             0.00538,             0.00538,             0.00538
                  16,             0.06024,            0.075193,          0.00032085,             0.45276,             0.26399,             0.28735,             0.16157,            0.071701,            0.081582,          0.00046299,             0.00505,             0.00505,             0.00505
                  17,            0.060161,            0.074856,          0.00030958,             0.41391,             0.24887,             0.27458,             0.15635,              0.0719,            0.082115,          0.00051649,             0.00472,             0.00472,             0.00472
                  18,            0.059968,            0.074505,          0.00030283,             0.42431,              0.2579,             0.27675,             0.15685,            0.071775,            0.080808,          0.00049304,             0.00439,             0.00439,             0.00439
                  19,            0.059818,            0.074077,          0.00029548,             0.41507,             0.26088,             0.27567,             0.15398,            0.072251,            0.081761,          0.00049551,             0.00406,             0.00406,             0.00406
                  20,            0.059695,            0.073733,          0.00028079,             0.40403,              0.2494,             0.26994,             0.15453,            0.072397,            0.082217,          0.00051612,             0.00373,             0.00373,             0.00373
                  21,            0.059431,            0.073304,          0.00027907,             0.37079,             0.25608,             0.26417,             0.15159,            0.072602,            0.082143,           0.0004982,              0.0034,              0.0034,              0.0034
                  22,             0.05936,            0.072962,          0.00026866,              0.3655,             0.24679,             0.25705,             0.14643,            0.072948,            0.082972,           0.0005413,             0.00307,             0.00307,             0.00307
                  23,            0.059219,            0.072541,          0.00026445,             0.37929,             0.24846,             0.26099,             0.14771,            0.073313,            0.084128,          0.00059375,             0.00274,             0.00274,             0.00274
                  24,            0.059065,             0.07207,          0.00025863,             0.37099,             0.25528,             0.26457,             0.14756,            0.073271,            0.084131,          0.00055473,             0.00241,             0.00241,             0.00241
                  25,              0.0588,            0.071702,          0.00025402,             0.39278,             0.23481,             0.25993,             0.14566,            0.073647,            0.085214,          0.00059698,             0.00208,             0.00208,             0.00208
                  26,            0.058668,            0.071261,          0.00025048,             0.39715,             0.24588,             0.25799,             0.14362,            0.073698,             0.08579,          0.00060936,             0.00175,             0.00175,             0.00175
                  27,            0.058541,            0.070895,           0.0002516,             0.40431,              0.2528,             0.26193,             0.14507,            0.073887,            0.086281,          0.00060169,             0.00142,             0.00142,             0.00142
                  28,            0.058327,            0.070451,           0.0002437,             0.40104,             0.24737,             0.25522,             0.14057,            0.074001,            0.086923,          0.00060864,             0.00109,             0.00109,             0.00109
                  29,            0.058218,            0.070114,           0.0002447,              0.3916,             0.24606,             0.25252,             0.13838,            0.074196,            0.087655,          0.00061386,             0.00076,             0.00076,             0.00076
