               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.059061,            0.072226,           0.0002962,             0.39493,             0.24858,             0.23632,             0.13034,            0.073937,            0.084163,          0.00049714,            0.006535,            0.006535,            0.006535
                  37,            0.058946,            0.071939,          0.00029058,             0.40176,             0.24603,             0.23611,             0.13002,            0.074011,            0.084075,          0.00050165,            0.006436,            0.006436,            0.006436
                  38,            0.058746,            0.071655,          0.00029021,             0.40422,             0.24199,              0.2337,             0.12822,            0.074067,            0.084232,          0.00049983,            0.006337,            0.006337,            0.006337
                  39,            0.058676,            0.071343,          0.00028621,             0.39967,             0.24269,             0.23536,             0.13045,            0.074101,            0.084752,          0.00050978,            0.006238,            0.006238,            0.006238
                  40,            0.058523,             0.07108,          0.00028544,             0.40549,             0.23962,             0.23529,             0.12883,            0.074145,            0.085002,           0.0005148,            0.006139,            0.006139,            0.006139
                  41,            0.058435,            0.070781,          0.00027685,             0.40367,              0.2357,             0.23553,             0.12891,            0.074183,            0.085299,          0.00052041,             0.00604,             0.00604,             0.00604
                  42,            0.058142,            0.070414,          0.00027396,             0.39816,             0.23809,               0.235,             0.12824,            0.074249,              0.0856,            0.000525,            0.005941,            0.005941,            0.005941
                  43,            0.058073,            0.070191,          0.00027539,             0.39221,             0.23933,             0.23622,             0.12748,            0.074315,            0.085678,          0.00052781,            0.005842,            0.005842,            0.005842
                  44,            0.057914,            0.069875,          0.00027069,             0.38849,             0.24303,             0.23721,             0.12775,            0.074342,            0.085863,          0.00052807,            0.005743,            0.005743,            0.005743
                  45,            0.057834,            0.069613,          0.00026878,             0.38945,             0.24393,             0.23651,             0.12789,            0.074377,            0.086043,          0.00052768,            0.005644,            0.005644,            0.005644
                  46,            0.057624,            0.069224,          0.00026586,             0.38711,             0.24497,             0.23707,              0.1283,            0.074382,             0.08618,          0.00052638,            0.005545,            0.005545,            0.005545
                  47,            0.057499,            0.068949,          0.00026221,             0.39836,             0.24566,             0.23699,             0.12842,            0.074405,            0.086326,          0.00052584,            0.005446,            0.005446,            0.005446
                  48,            0.057323,            0.068577,          0.00026403,             0.40333,             0.24103,             0.23675,             0.12843,            0.074445,            0.086514,           0.0005295,            0.005347,            0.005347,            0.005347
                  49,            0.057228,            0.068252,          0.00025782,             0.40411,             0.23649,             0.23535,             0.12799,             0.07448,            0.086685,          0.00052908,            0.005248,            0.005248,            0.005248
                  50,            0.057032,             0.06792,          0.00025754,             0.39901,             0.23656,             0.23475,             0.12791,            0.074514,            0.086946,          0.00053058,            0.005149,            0.005149,            0.005149
                  51,            0.056834,             0.06765,          0.00025657,             0.39063,             0.24078,             0.23376,             0.12757,            0.074544,            0.087184,          0.00053101,             0.00505,             0.00505,             0.00505
                  52,            0.056731,            0.067245,          0.00025106,             0.39541,             0.24083,             0.23346,             0.12707,            0.074579,            0.087374,          0.00053252,            0.004951,            0.004951,            0.004951
                  53,             0.05661,            0.066923,          0.00025229,             0.39728,              0.2424,             0.23374,             0.12658,            0.074628,            0.087659,          0.00053685,            0.004852,            0.004852,            0.004852
                  54,            0.056436,            0.066624,          0.00025389,             0.40029,             0.24387,             0.23372,             0.12642,            0.074667,            0.087822,          0.00053918,            0.004753,            0.004753,            0.004753
                  55,            0.056299,            0.066286,          0.00024932,             0.39574,             0.24227,             0.23349,             0.12616,            0.074698,            0.088077,          0.00054269,            0.004654,            0.004654,            0.004654
                  56,            0.056186,            0.065993,           0.0002493,             0.38642,             0.24489,             0.23329,             0.12581,            0.074721,            0.088266,          0.00054408,            0.004555,            0.004555,            0.004555
                  57,            0.055997,             0.06569,          0.00024442,             0.38572,             0.24424,             0.23352,             0.12523,             0.07475,            0.088424,          0.00054478,            0.004456,            0.004456,            0.004456
                  58,            0.055848,            0.065204,          0.00024068,             0.38825,             0.24473,             0.23331,             0.12533,            0.074775,            0.088597,          0.00054508,            0.004357,            0.004357,            0.004357
                  59,            0.055697,            0.064987,          0.00024541,             0.39156,              0.2426,              0.2322,             0.12483,              0.0748,             0.08879,          0.00054553,            0.004258,            0.004258,            0.004258
                  60,            0.055562,            0.064565,          0.00024068,              0.3873,             0.24067,             0.23187,             0.12488,            0.074824,             0.08894,          0.00054531,            0.004159,            0.004159,            0.004159
                  61,            0.055453,            0.064207,           0.0002419,             0.38402,             0.24012,             0.23214,             0.12466,            0.074843,             0.08911,           0.0005456,             0.00406,             0.00406,             0.00406
                  62,            0.055241,            0.063873,          0.00024492,             0.38459,             0.23748,             0.23076,             0.12358,            0.074863,            0.089281,          0.00054542,            0.003961,            0.003961,            0.003961
                  63,            0.055128,             0.06347,          0.00023785,              0.3828,             0.23662,             0.23005,             0.12302,             0.07489,            0.089468,          0.00054678,            0.003862,            0.003862,            0.003862
                  64,            0.055003,            0.063188,          0.00023794,             0.38431,             0.23505,              0.2304,             0.12236,             0.07491,            0.089619,          0.00054692,            0.003763,            0.003763,            0.003763
                  65,             0.05482,            0.062772,          0.00023334,              0.3852,             0.23564,             0.22935,             0.12189,            0.074928,            0.089791,          0.00054756,            0.003664,            0.003664,            0.003664
                  66,            0.054695,            0.062513,          0.00023337,             0.38633,             0.23542,             0.22975,             0.12225,            0.074946,            0.089959,          0.00054767,            0.003565,            0.003565,            0.003565
                  67,            0.054632,            0.062079,           0.0002376,             0.39154,             0.23372,             0.22867,             0.12182,            0.074964,            0.090123,          0.00054757,            0.003466,            0.003466,            0.003466
                  68,            0.054461,            0.061709,           0.0002318,             0.38854,             0.23378,             0.22774,             0.12153,            0.074986,            0.090296,          0.00054648,            0.003367,            0.003367,            0.003367
                  69,            0.054294,             0.06139,          0.00022923,             0.39004,              0.2334,             0.22727,             0.12115,            0.075009,             0.09045,          0.00054536,            0.003268,            0.003268,            0.003268
                  70,             0.05419,            0.060993,          0.00023222,             0.39296,             0.23082,             0.22618,             0.12065,            0.075029,            0.090605,          0.00054488,            0.003169,            0.003169,            0.003169
                  71,            0.054056,            0.060616,          0.00022771,             0.39595,              0.2301,               0.225,             0.12011,            0.075052,            0.090781,          0.00054524,             0.00307,             0.00307,             0.00307
                  72,            0.053844,             0.06013,          0.00022545,             0.39507,             0.22691,             0.22484,              0.1198,            0.075073,            0.090955,          0.00054438,            0.002971,            0.002971,            0.002971
                  73,            0.053684,            0.059856,          0.00022798,              0.3962,             0.22617,             0.22375,             0.11925,            0.075099,            0.091147,          0.00054482,            0.002872,            0.002872,            0.002872
                  74,            0.053671,            0.059422,          0.00022396,              0.3954,             0.22372,             0.22346,              0.1191,            0.075122,            0.091345,          0.00054496,            0.002773,            0.002773,            0.002773
                  75,            0.053432,            0.059126,          0.00022324,             0.39263,             0.22448,             0.22331,             0.11904,            0.075147,            0.091545,          0.00054488,            0.002674,            0.002674,            0.002674
                  76,            0.053308,             0.05867,          0.00022117,             0.39773,             0.22259,             0.22323,              0.1185,            0.075173,            0.091778,          0.00054541,            0.002575,            0.002575,            0.002575
                  77,            0.053189,             0.05833,          0.00021838,              0.3947,             0.22324,             0.22253,              0.1182,            0.075196,            0.091981,          0.00054503,            0.002476,            0.002476,            0.002476
                  78,            0.052994,            0.057915,          0.00021964,             0.39741,             0.22333,             0.22231,             0.11804,            0.075221,            0.092214,          0.00054502,            0.002377,            0.002377,            0.002377
                  79,            0.052958,            0.057507,          0.00022149,              0.3971,             0.22442,             0.22181,             0.11771,            0.075246,            0.092402,          0.00054466,            0.002278,            0.002278,            0.002278
                  80,             0.05279,            0.057033,           0.0002167,             0.39674,             0.22467,             0.22118,             0.11786,            0.075272,            0.092637,          0.00054443,            0.002179,            0.002179,            0.002179
                  81,            0.052635,            0.056709,          0.00021703,             0.39219,             0.22385,             0.22077,             0.11731,            0.075295,            0.092856,          0.00054353,             0.00208,             0.00208,             0.00208
                  82,            0.052532,            0.056265,          0.00021384,             0.39521,              0.2212,             0.21989,             0.11712,            0.075321,            0.093069,           0.0005432,            0.001981,            0.001981,            0.001981
                  83,            0.052333,            0.055751,          0.00021476,             0.39897,              0.2214,             0.22046,             0.11712,            0.075345,            0.093318,          0.00054347,            0.001882,            0.001882,            0.001882
